product_title,rating,summary,review
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,1,Terrible product,"Pathetic, don't buy this one"
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Fabulous!,It has superb bass and long lasting battery life.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,1,Terrible product,This item right side earbuds sound very slow and volume automatically drop
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Highly recommended,"These earbuds very reliable, very durable and they last a very long time. Other earbuds I had I had sat on it while it was connect into my phone. They are 100 % worth. they have never failed and that a promise."
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Fabulous!,Nice packing battery life is good it's a good calling I give gift my cousin he says nice sound good product
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Just wow!,Superb performance of this buds
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Simply awesome,Superb bass of this earbuds and good comfortable
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Best in the market!,"Sound is very good with decent deep bass .Sound is very clear and no noise , humming, buzzing sound you will hear.Overall budget friendly Earbuds are here"
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Awesome,Mind blowing music experience with this product. Simply superb ðŸ’
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,1,Hated it!,"Very bad product, don't buy this, no service center, I am connecting through email from last 2 months but no response, they replied with excuses. My suggestion pls don't buy this you can go with other brand. Because I do not want to waste your money."
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Perfect product!,What a nice quality of sound ! Amazing Design  I s superb I am using mivi brand earbuds since 2021 it is really good products Mivi's every products are very good ðŸ‘
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Mind-blowing purchase,I have been using mivi earbuds for a long time. This time I've purchased these mivi duopods M30 and they are amazing. Sound quality is upto the mark .Bass is superb . Battery life is good too and they are easy to carry .Design of earpods are perfect. You'll get charging cable along with it.Best at this price .Highly recommended mivi earpods.
Mivi DuoPods M30 earbuds with 42 hours of playtime | Made in India | Deep Bass Bluetooth Headset,5,Great product,"It is a good looking product and its sound quality is also superb and bass is also good i like this product bcoz of their design and performance , battery  backup in this price range its good"
